ID;Deca;Competitor;DOB;Nat;Pos;Venue;Date;100m;Long_Jump;Shot_Put;High_Jump;400m;110m_Hurdles;Discus_Throw;Pole_Vault;Javelin_Throw;1500m;k3;k4;k5
11;6687;Olle Bexell;;SWE ;1;Paris;05.09.1938;-1.104763626;-1.284311099;-0.229437673;-2.052742745;-1.861556063;-1.112743383;0.298390682;-1.511849468;-0.698658232;-0.415371132;1;0;0
12;6459;Witold Gierutto;;POL ;2;Paris;05.09.1938;-0.833852073;-2.49790205;0.573862123;-1.319049221;-1.923894036;-1.856403046;-0.08957146;-2.053251035;0.20290465;-2.001893903;0;0;0
13;6228;Joseph Neumann;;SUI;3;Paris;05.09.1938;-1.375675179;-1.612308653;-0.974527338;-3.377771348;-0.165963196;-2.577863913;-1.18879753;-3.068378973;0.39889658;-0.200976163;2;0;0
14;6173;Rudolf Glötzner;;GER ;4;Paris;05.09.1938;-1.375675179;-1.71070792;-1.090947599;-2.512670029;-1.923894036;-2.577863913;-1.619866577;-2.053251035;-0.326273564;-0.312461547;2;0;0
15;5918;Raymond Anet;;SUI;5;Paris;05.09.1938;-1.104763626;-2.585368065;-2.63933706;-2.950696013;-1.113500387;-1.112743383;-2.061712351;-2.398394534;-1.845211027;-0.046611785;2;0;0
16;5665;Jerzy Pławczyk;;POL ;6;Paris;05.09.1938;-2.42061974;-1.557642394;-1.999025628;-1.319049221;-2.846496037;-2.344776556;-1.231904435;-2.574350043;-0.982846532;-2.988110761;2;0;0
17;5360;Jean Balezo;;FRA ;7;Paris;05.09.1938;-1.104763626;-1.087512566;-1.498418509;-2.950696013;-2.896366416;-4.009686248;-2.471227945;-2.905958503;-2.864369067;-1.590255562;2;0;0
18;5138;Hervé Mahé;;FRA ;8;Paris;05.09.1938;-2.910840646;-3.558427476;-1.288862041;-2.512670029;-4.180528661;-5.108526646;-1.468992411;-2.736770513;-1.10044169;-1.684589349;2;0;0
19;6566;Godtfred Holmvang;;NOR ;1;Oslo;24.08.1946;-1.633686182;-1.22964484;-1.160799755;-1.778976505;-1.599736576;-1.734309668;-1.178020804;-1.877295526;-0.924048952;1.428425602;1;0;0
20;6559;Sergey Kuznetsov;;USR;2;Oslo;24.08.1946;0.004683687;0.530608702;-1.498418509;-3.377771348;-1.163370765;-1.978496423;-1.145690626;-1.694572497;-1.316032814;0.390753951;1;3;3
21;6313;Göran Waxberg;;SWE ;3;Oslo;24.08.1946;-1.904597735;-1.087512566;-1.219009885;-2.052742745;-1.973764415;-2.344776556;-0.951709554;-2.053251035;-0.973046935;0.390753951;1;0;0
22;6263;Armin Scheurer;;SUI;4;Oslo;24.08.1946;-1.375675179;-2.73843359;-1.556628639;-1.505210264;-1.49999582;-1.978496423;-1.339671697;-1.329126439;-0.865251373;-0.621190302;2;0;0
23;6203;Pierre Sprecher;;FRA ;5;Oslo;24.08.1946;-2.42061974;-2.322970021;-1.300504067;-3.377771348;-0.614796602;-2.222683178;-1.285788066;-2.736770513;-0.11068244;1.188303236;2;0;0
24;6195;Oskar Hafliger;;SUI;6;Oslo;24.08.1946;-1.633686182;-1.612308653;-1.78946916;-2.863090817;-0.776875332;-2.455770535;-0.54219396;-2.905958503;-1.090642094;0.785240694;2;0;0
25;5995;Gunnar Erdal-Aase;;NOR ;7;Oslo;24.08.1946;-1.904597735;-1.863773445;-1.184083807;-3.125906407;-1.861556063;-4.620153136;-1.27501134;-2.229206544;-0.05188486;0.390753951;2;0;0
26;5817;István Kiss;;HUN ;8;Oslo;24.08.1946;-1.904597735;-1.59044215;-2.033951706;-2.052742745;-2.597144145;-2.344776556;-1.92161491;-2.229206544;-1.335632007;-1.170041423;2;0;0
27;5762;Davorin Marčelja;;YUG ;9;Oslo;24.08.1946;-2.910840646;-2.158971244;-1.05602152;-2.863090817;-2.28545428;-3.143933208;-0.736175031;-2.905958503;-0.835852584;-0.77555468;2;0;0
28;5602;Wacław Kuźmicki;;POL ;10;Oslo;24.08.1946;-2.42061974;-1.688841416;-1.568270665;-2.326508985;-2.746755281;-4.620153136;-0.919379376;-2.736770513;-2.246994485;-0.261006754;2;0;0
29;5634;Armando Ossena;;ITA;11;Oslo;24.08.1946;-2.162608738;-1.207778336;-1.96409955;-3.377771348;-2.435065415;-2.222683178;-0.951709554;-3.224031923;-1.149439673;-1.727468343;2;0;0
30;5605;Marjan Urbic;;YUG ;12;Oslo;24.08.1946;-1.904597735;-1.83097369;-2.546200851;-2.863090817;-2.385195037;-3.032939229;-2.697539195;-2.736770513;-0.865251373;-0.518280717;2;0;0
31;6827;Ignace Heinrich;;FRA ;1;Bruxelles;25.08.1950;-0.56294052;-0.857914278;-0.578698454;-1.592815461;-1.325449495;-0.591071679;-0.186561996;-1.511849468;-0.600662267;-0.518280717;1;0;0
32;6819;Örn Clausen;;ISL;2;Bruxelles;25.08.1950;0.572307893;-0.20191917;-0.555414401;-1.592815461;0.008583128;-0.324686128;-1.328894971;-2.229206544;-1.374830393;-0.466825925;1;3;3
33;6664;Kjell Tånnander;;SWE ;3;Bruxelles;25.08.1950;-0.56294052;-0.781381516;-0.287647803;-1.034332331;-1.811685685;-1.490122913;-0.283552531;-1.694572497;-1.080842497;-0.869888466;1;0;0
34;6566;Göran Widenfelt;;SWE ;4;Bruxelles;25.08.1950;-1.104763626;-1.338977358;-1.172441781;-0.059724515;-1.711944928;-1.978496423;-1.328894971;-1.877295526;-1.022044918;0.279268568;1;0;0
35;6460;Armin Scheurer;;SUI;5;Bruxelles;25.08.1950;-2.162608738;-0.879780782;-1.381998249;-1.592815461;-2.235583902;-1.856403046;-1.145690626;-0.564396726;-0.610461863;-0.869888466;2;0;0
36;6498;Vladimir Volkov;;USR;6;Bruxelles;25.08.1950;-0.279128417;-1.437376624;-1.184083807;-2.950696013;-0.552458629;-1.856403046;-1.27501134;-2.053251035;-0.385071143;0.279268568;1;0;0
37;6447;Edward Adamczyk;;POL ;7;Bruxelles;25.08.1950;-1.104763626;-0.573649731;-0.986169364;-2.512670029;-1.063630008;-1.612216291;-0.951709554;-1.329126439;-1.561022728;-0.818433674;1;0;0
38;6482;Miloslav Moravec;;CZE ;8;Bruxelles;25.08.1950;-0.56294052;-0.901647286;-1.556628639;-2.052742745;-0.552458629;-1.734309668;-1.350448423;-2.398394534;-0.679059039;0.116328391;1;0;0
39;6347;Viktor Iyevlev;;USR;9;Bruxelles;25.08.1950;-2.162608738;-1.10937907;-1.172441781;-1.592815461;-2.647014524;-2.100589801;-1.598313125;-1.877295526;0.349898598;-0.149521371;2;0;0
40;6107;Pierre Sprecher;;FRA ;10;Bruxelles;25.08.1950;-1.904597735;-2.443235791;-1.242293937;-3.377771348;-0.889083684;-1.978496423;-0.768505209;-2.398394534;-0.669259442;-0.261006754;2;0;0
41;5900;Geoffrey Elliott;;GBR;11;Bruxelles;25.08.1950;-0.56294052;-2.322970021;-2.290076279;-1.592815461;-2.385195037;-2.222683178;-0.714621579;-1.511849468;-2.923166647;-1.590255562;2;0;0
42;5934;Davorin Marčelja;;YUG ;12;Bruxelles;25.08.1950;-2.42061974;-2.25737051;-1.102589625;-3.377771348;-1.973764415;-3.032939229;-1.210350983;-1.877295526;-0.355672353;-0.724099888;2;0;0
43;5630;Oto Rebula;;YUG ;13;Bruxelles;25.08.1950;-1.375675179;-2.683767331;-1.405282301;-2.950696013;-3.282861849;-1.978496423;-1.005593185;-2.398394534;-2.276393275;-1.495921776;2;0;0
44;5081;John van Mullem;;BEL;14;Bruxelles;25.08.1950;-2.665730193;-2.322970021;-2.394854513;-2.052742745;-3.382602606;-3.143933208;-2.988510802;-2.229206544;-3.315150508;-2.387804847;2;0;0
45;6881;Vasiliy Kuznetsov;;USR;1;Bern;27.08.1954;-0.279128417;-0.693915501;-0.76497087;-2.512670029;-0.502588251;-0.724264455;0.546255384;-1.511849468;-0.179279615;-0.921343259;1;0;0
46;6676;Torbjörn Lassenius;;FIN ;2;Bern;27.08.1954;-1.633686182;-1.656041661;-1.172441781;-1.592815461;-1.163370765;-0.979550608;-1.41510878;-1.877295526;1.114267128;0.116328391;2;0;0
47;6531;Heinz Oberbeck;;GER ;3;Bern;27.08.1954;-0.279128417;0.508742198;-0.380784011;-1.592815461;-1.001292035;-2.100589801;-0.358989615;-2.053251035;-0.708457829;-2.550745024;0;2;4
48;6442;Yuriy Kutenko;;USR;4;Bern;27.08.1954;-1.375675179;-0.595516235;-0.916317208;-2.950696013;-1.711944928;-1.856403046;-0.596077591;-1.329126439;-0.08128365;-1.307254203;1;0;0
49;6371;Miloslav Moravec;;CZE ;5;Bern;27.08.1954;-0.56294052;-1.185911833;-1.649764848;-2.052742745;-0.440250278;-2.100589801;-1.27501134;-2.574350043;-1.022044918;0.116328391;1;0;0
50;6240;Manfred Huber;;SUI;6;Bern;27.08.1954;-1.375675179;-1.962172711;-2.092161837;-2.512670029;-0.614796602;-1.490122913;-2.14792616;-2.574350043;-0.914249356;1.068242054;2;0;0
51;6199;Friedel Schirmer;;GER ;7;Bern;27.08.1954;-1.375675179;-2.61816782;-0.76497087;-2.950696013;-1.275579117;-1.490122913;-1.468992411;-2.736770513;0.291101019;-0.36391634;2;0;0
52;6188;Arnulf Pilhatsch;;AUT;8;Bern;27.08.1954;-1.375675179;-1.863773445;-0.136301465;-1.034332331;-3.045977551;-1.112743383;-1.41510878;-2.574350043;-0.826052987;-1.358708996;2;0;0
53;6127;Fritz Vogelsang;;SUI;9;Bern;27.08.1954;-1.104763626;-2.585368065;-1.719617004;-2.950696013;-1.001292035;-1.734309668;-1.41510878;-1.877295526;-1.884409413;0.339299159;2;0;0
54;6118;Stojan Slavkov;;BUL;10;Bern;27.08.1954;-1.633686182;-1.437376624;-1.824395238;-1.034332331;-1.49999582;-2.100589801;-1.490545863;-1.877295526;-2.560581575;-0.466825925;2;0;0
55;6026;Jacques Guénard;;FRA ;11;Bern;27.08.1954;-1.633686182;-3.044564641;-1.754543082;-2.052742745;-2.023634793;-1.978496423;-2.169479612;-2.053251035;0.104908684;-0.56973551;2;0;0
56;5929;Stanislav Štefkovič;;CZE ;12;Bern;27.08.1954;-2.665730193;-2.301103518;-1.032737468;-2.052742745;-2.385195037;-3.476915147;-1.307341518;-2.053251035;-1.737415465;0.450784543;2;0;0
57;5830;Hans Baar;;Saar ;13;Bern;27.08.1954;-2.42061974;-2.519768554;-0.473920219;-2.950696013;-2.12337555;-1.856403046;-1.576759673;-2.574350043;-2.560581575;0.116328391;2;0;0
58;5316;Gheorghe Zîmbresteanu;;ROM;14;Bern;27.08.1954;-1.104763626;-2.202704251;-1.707974978;-2.950696013;-1.001292035;-1.734309668;-1.264234614;-2.229206544;-2.854569471;-5.775245358;2;0;2
59;5761;Fernando Fernandes;;POR;15;Bern;27.08.1954;-1.104763626;-1.612308653;-2.674263138;-2.512670029;-0.951421657;-2.455770535;-1.943168363;-2.736770513;-2.707575523;-0.466825925;2;0;0
60;6969;Vasiliy Kuznetsov;;USR;1;Stockholm;21.08.1958;0.869020546;0.454075939;0.224601342;-1.592815461;0.719236021;0.074892198;1.397616752;-5.321962995;0.300900615;-0.972798052;0;2;4
61;6767;Uno Palu;;USR;2;Stockholm;21.08.1958;-0.279128417;-0.693915501;-0.438994141;-0.651059595;0.307805399;-0.457878904;-0.703844852;-5.321962995;0.006912719;1.308364419;1;0;0
62;6852;Walter Meier;;GER;3;Stockholm;21.08.1958;0.004683687;-0.333118191;0.154749186;-1.319049221;0.42001375;-0.846357832;1.451500383;-5.321962995;-1.10044169;1.128272645;0;2;4
63;6682;Markus Kahma;;FIN ;4;Stockholm;21.08.1958;-0.833852073;-1.131245574;0.899838851;-2.512670029;-0.664666981;-2.100589801;0.966547705;-5.321962995;1.22206269;1.308364419;0;2;4
64;6421;Walter Tschudi;;SUI;5;Stockholm;21.08.1958;0.572307893;-1.10937907;-0.392426037;-2.512670029;0.781573994;-0.457878904;-1.619866577;-5.321962995;-1.3552312;1.128272645;1;0;0
65;6530;Eef Kamerbeek;;NED ;6;Stockholm;21.08.1958;-0.279128417;-0.595516235;-0.567056427;-2.052742745;-0.614796602;-0.058300578;-0.628407769;-5.321962995;0.42829537;0.339299159;1;0;0
66;6219;Hans-Dieter Möhring;;GER ;7;Stockholm;21.08.1958;0.004683687;-1.557642394;0.748492513;-2.512670029;-0.727004954;-2.222683178;0.740236455;-5.321962995;-0.424269529;-1.024252844;0;2;4
67;6279;Václav Bečvárovský;;CZE ;8;Stockholm;21.08.1958;-0.833852073;-1.59044215;-0.776612896;-1.319049221;-0.552458629;-0.457878904;-0.100348186;-5.321962995;-0.816253391;-0.200976163;1;0;0
68;6157;Pétur Rögnvaldsson;;ISL;9;Stockholm;21.08.1958;-0.833852073;-1.087512566;-0.334215907;-2.512670029;-0.889083684;-0.324686128;-0.617631043;-5.321962995;-0.610461863;-0.672645095;1;0;0
69;5985;Jože Brodnik;;YUG ;10;Stockholm;21.08.1958;-1.904597735;-2.443235791;-0.543772375;-1.592815461;-1.811685685;-1.23483676;-1.490545863;-5.321962995;0.45769416;0.116328391;2;0;0
70;6010;Torbjörn Lassenius;;FIN ;11;Stockholm;21.08.1958;-2.162608738;-1.765374179;-1.160799755;-2.512670029;-1.113500387;-1.23483676;-0.563747412;-5.321962995;0.447894563;-0.046611785;2;0;0
71;5925;Johann Muchitsch;;AUT;12;Stockholm;21.08.1958;0.004683687;-0.311251688;-2.69754719;-1.592815461;-0.215833575;-0.457878904;-2.794529731;-5.321962995;-3.93252509;1.488456193;1;0;0
72;5940;Per-Martin Haarr;;NOR ;13;Stockholm;21.08.1958;-1.375675179;-0.879780782;-0.904675182;-1.319049221;-2.435065415;-1.856403046;-1.27501134;-5.321962995;0.594888511;-1.170041423;2;0;0
73;5802;Rune Persson;;SWE ;14;Stockholm;21.08.1958;-1.104763626;-2.082438481;-0.473920219;-2.052742745;-1.861556063;-1.490122913;-1.070253542;-5.321962995;-0.238077195;-1.453042782;2;0;0
74;5770;Heinrich Staub;;SUI;15;Stockholm;21.08.1958;-1.375675179;-2.399502784;-1.544986613;-1.592815461;-0.889083684;-0.724264455;-1.501322589;-5.321962995;-1.551223131;-0.621190302;2;0;0
75;5883;Jean-Marie Kling;;FRA ;16;Stockholm;21.08.1958;-1.104763626;-1.284311099;-1.428566353;-2.512670029;-0.165963196;-0.846357832;-1.027146638;-5.321962995;-3.079960191;0.502239335;1;0;0
76;5604;Hermund Høgheim;;NOR ;17;Stockholm;21.08.1958;-0.56294052;-1.513909387;-2.325002357;-2.512670029;-1.599736576;-3.032939229;-2.244916696;-5.321962995;-0.56146388;0.013418806;2;0;0
77;5916;Björgvin Hólm;;ISL;18;Stockholm;21.08.1958;-1.633686182;-2.344836525;-0.974527338;-2.512670029;-1.063630008;-1.23483676;-1.425885506;-5.321962995;-0.483067108;0.562269927;2;0;0
78;7653;Vasiliy Kuznetsov;;USR;1;Beograd;14.09.1962;0.869020546;-0.672048998;0.25952742;-2.052742745;0.307805399;0.485569922;1.28984949;-1.329126439;1.584647762;0.013418806;0;2;4
79;7637;Werner von Moltke;;GER ;2;Beograd;14.09.1962;1.165733199;-0.365917947;0.701924409;-1.592815461;0.070921101;0.074892198;1.591597823;-0.66590952;-0.179279615;-0.312461547;0;2;4
80;7562;Manfred Bock;;GER ;3;Beograd;14.09.1962;0.869020546;-0.540849976;-0.497204271;-1.034332331;0.719236021;0.219184371;-0.617631043;-1.329126439;0.771281249;1.016787261;1;3;3
81;7500;Eef Kamerbeek;;NED ;4;Beograd;14.09.1962;0.004683687;-0.365917947;0.131465134;-1.319049221;-0.614796602;0.485569922;1.14975205;-1.511849468;0.918275197;0.116328391;0;2;4
82;7355;Willi Holdorf;;GER ;5;Beograd;14.09.1962;1.772059056;-0.234718925;0.038328926;-2.052742745;0.656898048;-0.324686128;0.481595027;-1.877295526;-0.933848549;0.613724719;0;3;3
83;7299;Yuriy Dyachkov;;USR;6;Beograd;14.09.1962;0.004683687;-0.125386407;-0.252721725;-1.034332331;0.008583128;-0.058300578;0.179846694;-1.139635891;-0.737856618;-0.046611785;1;3;3
84;7199;Mirko Kolnik;;YUG ;7;Beograd;14.09.1962;1.165733199;-0.934447041;-0.089733361;-2.052742745;-0.278171548;-1.112743383;-0.068018008;-0.273393384;-0.277275581;-0.621190302;1;3;3
85;7185;Jože Brodnik;;YUG ;8;Beograd;14.09.1962;-0.56294052;-0.956313545;-0.567056427;-1.319049221;-0.889083684;-0.724264455;-0.660737948;-1.139635891;0.977072776;0.785240694;1;0;0
86;7085;Markus Kahma;;FIN ;9;Beograd;14.09.1962;-0.56294052;-1.459243128;0.760134539;-2.950696013;-0.614796602;-1.23483676;1.246742586;-1.694572497;-0.08128365;0.896726078;0;2;4
87;6866;Valbjörn Þorláksson;;ISL;10;Beograd;14.09.1962;0.28849579;-1.787240682;-1.544986613;-1.592815461;-0.727004954;-0.979550608;-0.585300864;-0.564396726;-0.130281633;-0.672645095;1;0;0
88;6646;Jean-René Monneret;;FRA ;11;Beograd;14.09.1962;0.28849579;-1.929372956;-0.858107078;-1.319049221;-0.664666981;-1.112743383;-2.169479612;-0.855400068;-0.551664284;-1.118586631;2;0;0
89;6201;German Klimov;;USR;12;Beograd;14.09.1962;0.28849579;-1.929372956;-0.858107078;-1.319049221;0.133259074;-1.356930138;-0.746951757;-5.321962995;-1.051443707;-0.312461547;1;0;0
90;6583;Franco Sar;;ITA;13;Beograd;14.09.1962;-0.56294052;-2.180837748;-0.555414401;-2.052742745;-1.599736576;-0.191493353;0.78334336;-2.053251035;-0.708457829;-1.307254203;1;0;0
91;6367;Léopold Marien;;BEL;14;Beograd;14.09.1962;0.004683687;-2.880565864;-2.196940071;-2.950696013;-0.103625223;0.352377147;-1.64142003;-2.574350043;-1.423828376;0.673755311;2;0;0
92;6139;Gyula Hubai;;HUN ;15;Beograd;14.09.1962;-0.56294052;-2.180837748;-1.347072171;-2.052742745;-2.534806172;-1.612216291;0.255283777;-1.511849468;-1.972605782;-1.959014909;2;0;0
93;7607;Werner von Moltke;;GER ;1;Budapest;01.09.1966;0.28849579;0.027679119;1.144321398;-1.121937528;-0.165963196;-0.324686128;0.772566634;-0.760654794;0.820279232;-0.672645095;0;2;4
94;7478;Jörg Mattheis;;GER ;2;Budapest;01.09.1966;-0.56294052;0.005812615;0.352663628;-0.837220638;-0.103625223;-1.734309668;0.707906277;-1.694572497;1.565048569;0.785240694;0;2;4
95;7479;Horst Beyer;;GER ;3;Budapest;01.09.1966;-1.104763626;-0.726715257;0.562220097;-0.837220638;0.183129453;-0.058300578;-0.100348186;-0.950145343;-0.149880826;1.308364419;1;0;0
96;7280;Max Klauß;;GER;4;Budapest;01.09.1966;0.28849579;1.186603811;-0.718402766;-0.552503748;0.008583128;-2.344776556;-0.412873246;-0.469651452;-0.630061056;-0.200976163;1;3;3
97;7210;Rein Aun;;USR;5;Budapest;01.09.1966;-0.56294052;-0.409650954;-0.310931855;-1.121937528;-0.440250278;-1.490122913;0.104409611;-0.950145343;0.026511912;0.450784543;1;0;0
98;7054;Jüri Otsmaa;;USR;6;Budapest;01.09.1966;-0.833852073;-0.879780782;-0.008239178;-0.256836208;-0.839213305;-0.724264455;-0.930156102;-1.511849468;-0.571263477;0.562269927;1;0;0
99;7002;Mikhail Storozhenko;;USR;7;Budapest;01.09.1966;-1.104763626;-0.573649731;0.37594768;-0.837220638;-2.534806172;-0.324686128;0.64324592;-1.139635891;-0.385071143;-0.869888466;0;2;4
100;6999;Werner Duttweiler;;SUI;8;Budapest;01.09.1966;-0.833852073;-0.573649731;-0.310931855;-1.121937528;-1.437657846;-0.724264455;-1.221127709;-0.374906178;-0.639860653;-0.046611785;1;0;0
101;6996;Clive Longe;;GBR;9;Budapest;01.09.1966;-0.56294052;-1.415510121;0.818344669;-2.512670029;-1.063630008;-0.979550608;0.9234408;-1.139635891;-0.267475984;-0.466825925;0;2;4
102;6869;Walter Diessl;;AUT;10;Budapest;01.09.1966;0.004683687;-1.10937907;-0.113017413;-2.052742745;-0.839213305;-0.324686128;-0.725398305;-1.139635891;-1.521824341;-0.046611785;1;0;0
103;6849;Manfred Tiedtke;;GER;11;Budapest;01.09.1966;-0.56294052;-0.879780782;0.504009967;-0.552503748;-0.440250278;-0.724264455;-0.876272471;-2.053251035;-0.581063074;-1.212920417;1;0;0
104;6735;Franco Sar;;ITA;12;Budapest;01.09.1966;-1.104763626;-2.421369288;-0.241079699;-2.052742745;-1.861556063;-0.058300578;1.182082229;-0.950145343;-0.728057022;-1.307254203;0;0;0
105;6922;Jerzy Detko;;POL ;13;Budapest;01.09.1966;-1.104763626;-1.492042884;0.189675264;-0.837220638;-1.225708738;-0.846357832;0.222953599;-1.511849468;-0.453668319;-0.312461547;1;0;0
106;6713;Steen Smidt-Jensen;;DEN;14;Budapest;01.09.1966;-1.104763626;-1.492042884;-1.428566353;-1.121937528;-1.225708738;-0.846357832;-1.339671697;-0.564396726;-2.168597713;0.845271286;1;0;0
107;6703;Gert Herunter;;AUT;15;Budapest;01.09.1966;0.004683687;-1.032846307;-1.533344587;-1.121937528;-0.440250278;-0.457878904;-1.749187291;-1.877295526;-1.257235235;0.116328391;1;0;0
108;6802;Bruno Poserina;;ITA;16;Budapest;01.09.1966;-1.904597735;-1.207778336;-0.357499959;-2.052742745;-1.387787468;-0.591071679;1.343733121;-2.574350043;-0.630061056;0.845271286;1;0;0
109;6671;Horst Mandl;;AUT;17;Budapest;01.09.1966;-1.375675179;-0.38778445;-0.76497087;-1.121937528;-1.437657846;-0.724264455;-1.328894971;-1.694572497;-0.757455811;-0.466825925;1;0;0
110;6601;Derek Clarke;;GBR;18;Budapest;01.09.1966;-1.633686182;-2.158971244;-0.613624532;-3.377771348;-1.113500387;-1.112743383;0.147516516;-2.229206544;0.153906667;0.896726078;1;0;0
111;6665;Tadeusz Grzegorzewski;;POL ;19;Budapest;01.09.1966;-0.833852073;-1.360843862;-0.799896948;-2.512670029;-1.811685685;-0.846357832;-0.024911103;-0.760654794;0.055910702;-1.547376569;1;0;0
112;6516;Bernard Castang;;FRA ;20;Budapest;01.09.1966;-0.56294052;-1.612308653;0.434157811;-2.052742745;-0.440250278;-2.100589801;0.341497587;-2.574350043;-0.982846532;-1.170041423;0;2;4
113;6487;Urs Trautmann;;SUI;21;Budapest;01.09.1966;-2.162608738;-2.661900828;-0.345857933;-1.121937528;-2.023634793;-1.978496423;-0.154231817;-1.877295526;0.114708281;-0.149521371;2;0;0
114;6454;Gyula Hubai;;HUN ;22;Budapest;01.09.1966;-1.375675179;-2.344836525;-0.799896948;-1.592815461;-1.811685685;-2.100589801;0.179846694;-0.273393384;-1.600221114;-1.307254203;2;0;0
115;6416;Robert Lespagnard;;BEL;23;Budapest;01.09.1966;-1.104763626;-1.787240682;-1.533344587;-1.592815461;-0.440250278;-2.222683178;-2.632878838;-0.950145343;-1.717816272;0.613724719;2;0;0
116;6306;Charlemagne Anyamah;;FRA ;24;Budapest;01.09.1966;-0.279128417;-2.126171489;-0.322573881;-2.052742745;-0.889083684;-1.356930138;-1.296564792;-2.398394534;-1.541423534;-0.818433674;1;0;0
117;5924;Suat Jegeni;;ALB;25;Budapest;01.09.1966;-2.162608738;-2.25737051;-2.196940071;-2.512670029;-1.973764415;-3.143933208;-1.544429494;-1.694572497;-2.384188837;1.068242054;2;0;0
118;7910;Joachim Kirst;;GER;1;Athens;18.09.1969;0.869020546;1.208470314;1.668212569;1.659527474;1.130666643;-1.356930138;0.535478658;-0.950145343;0.026511912;-0.921343259;0;2;4
119;7683;Herbert Wessel;;GER;2;Athens;18.09.1969;0.572307893;0.530608702;0.189675264;0.137387178;0.133259074;-0.724264455;-0.283552531;0.024377478;-0.473267512;0.227813775;1;3;3
120;7653;Viktor Chelnokov;;USR;3;Athens;18.09.1969;0.572307893;-0.497116969;0.841628721;-1.034332331;0.482351723;-2.344776556;1.128198598;-0.950145343;1.545449376;0.502239335;0;2;4
121;7648;Nikolay Avilov;;USR;4;Athens;18.09.1969;-0.833852073;0.618074716;-0.392426037;0.739672906;0.357675777;-0.191493353;-0.08957146;-0.950145343;0.20290465;0.673755311;1;3;3
122;7469;Rüdiger Demmig;;GER;5;Athens;18.09.1969;0.004683687;-0.365917947;-0.404068063;-0.749615441;1.080796265;-0.191493353;0.287613956;-0.760654794;-0.630061056;0.227813775;1;3;3
123;7439;Horst Mandl;;AUT;6;Athens;18.09.1969;-0.56294052;-0.048853644;-0.404068063;-0.453947901;0.008583128;-0.324686128;-0.499087055;-0.374906178;0.153906667;0.116328391;1;0;0
124;7402;Lennart Hedmark;;SWE ;7;Athens;18.09.1969;-0.833852073;-0.103519903;-0.229437673;-0.749615441;-0.215833575;-0.846357832;0.039749254;-0.950145343;1.369056638;-0.046611785;1;0;0
125;7332;Urs Trautmann;;SUI;8;Athens;18.09.1969;-0.56294052;-0.333118191;0.154749186;-0.158280362;-0.552458629;-1.356930138;0.513925206;-1.329126439;0.65368609;-0.098066578;0;2;4
126;7245;Leonid Litvinenko;;USR;9;Athens;18.09.1969;0.004683687;-0.103519903;-0.03152323;-1.319049221;0.357675777;-0.191493353;-0.272775805;-2.229206544;-0.483067108;0.95675667;1;3;3
127;7204;Spas Dzhurov;;BUL;10;Athens;18.09.1969;0.004683687;-0.978180048;0.760134539;-1.319049221;-0.278171548;-1.112743383;-0.197338722;-0.950145343;-0.296874774;-0.046611785;1;2;4
