ID,Deca,Competitor,DOB,Nat,Pos,Venue,Date,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus_Throw,Pole_Vault,Javelin_Throw,1500m,1500m_secs,100m_pts,Long_Jump_pts,Shot_Put_pts,High_Jump_pts,400_pts,110m_Hurdles_pts,Discus_Throw_pts,Pole_Vault_pts,Javelin_Throw_pts,1500m_pts,100m_dev,Long_Jump_dev,Shot_Put_dev,High_Jump_dev,400m_dev,110m_Hurdles_dev,Discus_Throw_dev,Pole_Vault_dev,Javelin_Throw_dev,1500m_dev
11,6687,Olle Bexell,,SWE ,1,Paris,9/5/1938,"11,5","6,67","13,62","1,75","53,2","15,7","43,64","3,8","52,6",04:49.2,"289,00",753,737,706,586,674,767,739,563,628,625,"-1,104763626","-1,284311099","-0,2294376728","-2,052742745","-1,861556063","-1,112743383","0,2983906821","-1,511849468","-0,698658232","-0,4153003652"
12,6459,Witold Gierutto,,POL ,2,Paris,9/5/1938,"11,4","6,18","14,76","1,83","53,3","16,3","41,86","3,5","58,8",05:21.6,"322,00",774,626,775,653,669,700,703,483,720,440,"-0,8338520728","-2,49790205","0,5738621228","-1,319049221","-1,923894036","-1,856403046","-0,08957146029","-2,053251035","0,2029046496","-2,001675331"
13,6228,Joseph Neumann,,SUI,3,Paris,9/5/1938,"11,6","6,54","12,57","1,6","50,1","16,9","36,82","2,9","60,1",04:45.4,"285,00",732,707,642,465,810,635,601,333,740,650,"-1,375675179","-1,612308653","-0,9745273383","-3,377771348","-0,1659631963","-2,577863913","-1,18879753","-3,068378973","0,3988965804","-0,2009253697"
14,6173,Rudolf Glötzner,,GER ,4,Paris,9/5/1938,"11,6","6,50","12,42","1,7","53,3","16,9","34,83","3,5","55,18",04:47.2,"287,00",732,698,632,544,669,635,561,483,666,637,"-1,375675179","-1,71070792","-1,090947599","-2,512670029","-1,923894036","-2,577863913","-1,619866577","-2,053251035","-0,3262735635","-0,3124003674"
15,5918,Raymond Anet,,SUI,5,Paris,9/5/1938,"11,5","6,14","10,21","1,65","51,8","15,7","32,8","3,3","44,68",04:42.0,"282,00",753,618,499,504,734,767,520,432,511,668,"-1,104763626","-2,585368065","-2,63933706","-2,950696013","-1,113500387","-1,112743383","-2,061712351","-2,398394534","-1,845211027","-0,046575373"
16,5665,Jerzy Pławczyk,,POL ,6,Paris,9/5/1938,12,"6,56","11,12","1,83","55,1","16,7","36,64","3,2","50,65",05:46.5,"347,00",651,712,554,653,595,656,597,406,599,320,"-2,42061974","-1,557642394","-1,999025628","-1,319049221","-2,846496037","-2,344776556","-1,231904435","-2,574350043","-0,9828465317","-3,03067531"
17,5360,Jean Balezo,,FRA ,7,Paris,9/5/1938,"11,5","6,75","11,84","1,65","55,2","18,2","30,89",3,"37,5",05:12.8,"313,00",753,755,597,504,591,506,482,357,407,488,"-1,104763626","-1,087512566","-1,498418509","-2,950696013","-2,896366416","-4,009686248","-2,471227945","-2,905958503","-2,864369067","-1,59007534"
18,5138,Hervé Mahé,,FRA ,8,Paris,9/5/1938,"12,2","5,73","12,13","1,7","57,9","19,3","35,52","3,1","49,84",05:15.2,"315,00",613,529,615,544,488,407,575,382,587,477,"-2,910840646","-3,558427476","-1,288862041","-2,512670029","-4,180528661","-5,108526646","-1,468992411","-2,736770513","-1,10044169","-1,684400338"
19,6566,Godtfred Holmvang,,NOR ,1,Oslo,8/24/1946,"11,7","6,69","12,32","1,78","52,7","16,2","36,86","3,6","51,06",04:15.8,"256,00",712,742,626,611,695,711,602,509,605,840,"-1,633686182","-1,22964484","-1,160799755","-1,778976505","-1,599736576","-1,734309668","-1,178020804","-1,877295526","-0,9240489524","1,428324596"
20,6559,Sergey Kuznetsov,,USR,2,Oslo,8/24/1946,"11,1","7,37","11,84","1,6","51,9","16,4","37,02","3,7","48,39",04:33.8,"274,00",839,903,597,465,730,689,605,536,565,719,"0,004683686502","0,5306087019","-1,498418509","-3,377771348","-1,163370765","-1,978496423","-1,145690626","-1,694572497","-1,316032814","0,3907496177"
21,6313,Göran Waxberg,,SWE ,3,Oslo,8/24/1946,"11,8","6,75","12,23","1,75","53,4","16,7","37,94","3,5","50,73",04:34.4,"274,00",691,755,621,586,665,656,623,483,600,719,"-1,904597735","-1,087512566","-1,219009885","-2,052742745","-1,973764415","-2,344776556","-0,9517095544","-2,053251035","-0,9730469351","0,3907496177"
22,6263,Armin Scheurer,,SUI,4,Oslo,8/24/1946,"11,6","6,08","11,76","1,81","52,5","16,4","36,15","3,9","51,49",04:53.0,"293,00",732,604,592,636,703,689,587,590,611,601,"-1,375675179","-2,73843359","-1,556628639","-1,505210264","-1,49999582","-1,978496423","-1,339671697","-1,329126439","-0,8652513732","-0,6211003608"
23,6203,Pierre Sprecher,,FRA ,5,Oslo,8/24/1946,12,"6,25","12,11","1,6","50,9","16,6","36,37","3,1","56,64",04:19.8,"260,00",651,642,614,465,774,667,592,382,688,812,"-2,42061974","-2,322970021","-1,300504067","-3,377771348","-0,6147966022","-2,222683178","-1,285788066","-2,736770513","-0,1106824396","1,188224601"
24,6195,Oskar Hafliger,,SUI,6,Oslo,8/24/1946,"11,7","6,54","11,43","1,66","51,2","16,8","39,78",3,"49,9",04:27.2,"267,00",712,707,572,512,761,646,661,357,588,765,"-1,633686182","-1,612308653","-1,78946916","-2,863090817","-0,7768753322","-2,455770535","-0,5421939597","-2,905958503","-1,090642094","0,7851996093"
25,5995,Gunnar Erdal-Aase,,NOR ,7,Oslo,8/24/1946,"11,8","6,44","12,28","1,63","53,2","18,8","36,44","3,4","57,06",04:34.2,"274,00",691,684,624,488,674,451,593,457,694,719,"-1,904597735","-1,863773445","-1,184083807","-3,125906407","-1,861556063","-4,620153136","-1,27501134","-2,229206544","-0,05188486039","0,3907496177"
26,5817,István Kiss,,HUN ,8,Oslo,8/24/1946,"11,8","6,55","11,07","1,75","54,6","16,7","33,43","3,4","48,26",05:03.8,"304,00",691,709,551,586,615,656,533,457,563,537,"-1,904597735","-1,59044215","-2,033951706","-2,052742745","-2,597144145","-2,344776556","-1,92161491","-2,229206544","-1,335632007","-1,169900349"
27,5762,Davorin Marčelja,,YUG ,9,Oslo,8/24/1946,"12,2","6,32","12,47","1,66",54,"17,4","38,92",3,"51,65",04:55.6,"296,00",613,657,635,512,640,584,643,357,614,583,"-2,910840646","-2,158971244","-1,05602152","-2,863090817","-2,28545428","-3,143933208","-0,7361750309","-2,905958503","-0,8358525836","-0,7754503575"
28,5602,Wacław Kuźmicki,,POL ,10,Oslo,8/24/1946,12,"6,51","11,73","1,72","54,9","18,8","38,09","3,1","41,89",04:45.8,"286,00",651,700,591,561,603,451,626,382,470,643,"-2,42061974","-1,688841416","-1,568270665","-2,326508985","-2,746755281","-4,620153136","-0,9193793759","-2,736770513","-2,246994485","-0,2609503684"
29,5634,Armando Ossena,,ITA,11,Oslo,8/24/1946,"11,9","6,70","11,18","1,6","54,3","16,6","37,91","2,8","49,49",05:16.0,"316,00",671,744,557,465,628,667,623,310,582,472,"-2,162608738","-1,207778336","-1,96409955","-3,377771348","-2,435065415","-2,222683178","-0,9517095544","-3,224031923","-1,149439673","-1,727275337"
30,5605,Marjan Urbic,,YUG ,12,Oslo,8/24/1946,"11,8","6,45","10,34","1,66","54,2","17,3","29,79","3,1","51,51",04:51.2,"291,00",691,687,507,512,632,594,461,382,611,613,"-1,904597735","-1,83097369","-2,546200851","-2,863090817","-2,385195037","-3,032939229","-2,697539195","-2,736770513","-0,8652513732","-0,518200363"
31,6827,Ignace Heinrich,,FRA ,1,Bruxelles,8/25/1950,"11,3","6,84","13,14","1,8","52,2","15,3","41,44","3,8","53,31",04:50.6,"291,00",795,776,676,628,717,814,694,563,638,613,"-0,5629405198","-0,8579142784","-0,5786984535","-1,592815461","-1,325449495","-0,5910716793","-0,1865619959","-1,511849468","-0,6006622666","-0,518200363"
32,6819,Örn Clausen,,ISL,2,Bruxelles,8/25/1950,"10,9","7,09","13,17","1,8","49,8","15,1","36,21","3,4","47,96",04:49.8,"290,00",883,836,678,628,824,838,588,457,559,619,"0,5723078928","-0,2019191696","-0,5554144015","-1,592815461","0,00858312828","-0,3246861285","-1,328894971","-2,229206544","-1,374830393","-0,4667503641"
33,6664,Kjell Tånnander,,SWE ,3,Bruxelles,8/25/1950,"11,3","6,87","13,54","1,86","53,1",16,41,"3,7",50,04:57.8,"298,00",795,783,701,679,678,733,685,536,589,572,"-0,5629405198","-0,7813815157","-0,2876478029","-1,034332331","-1,811685685","-1,490122913","-0,2835525315","-1,694572497","-1,080842497","-0,8697753555"
34,6566,Göran Widenfelt,,SWE ,4,Bruxelles,8/25/1950,"11,5","6,65","12,29","1,96","52,9","16,4","36,2","3,6","50,41",04:36.0,"276,00",753,732,625,768,686,689,588,509,595,706,"-1,104763626","-1,338977358","-1,172441781","-0,05972451536","-1,711944928","-1,978496423","-1,328894971","-1,877295526","-1,022044918","0,2792746201"
35,6460,Armin Scheurer,,SUI,5,Bruxelles,8/25/1950,"11,9","6,83",12,"1,8","53,9","16,3","37,04","4,3","53,26",04:57.6,"298,00",671,774,607,628,644,700,605,703,637,572,"-2,162608738","-0,879780782","-1,381998249","-1,592815461","-2,235583902","-1,856403046","-1,145690626","-0,5643967262","-0,6104618632","-0,8697753555"
36,6498,Vladimir Volkov,,USR,6,Bruxelles,8/25/1950,"11,2","6,61","12,28","1,65","50,8","16,3","36,43","3,5","54,78",04:36.2,"276,00",817,723,624,504,779,700,593,483,660,706,"-0,2791284166","-1,437376624","-1,184083807","-2,950696013","-0,5524586292","-1,856403046","-1,27501134","-2,053251035","-0,3850711427","0,2792746201"
37,6447,Edward Adamczyk,,POL ,7,Bruxelles,8/25/1950,"11,5","6,95","12,56","1,7","51,7","16,1","37,94","3,9","46,68",04:56.8,"297,00",753,802,641,544,738,722,623,590,540,578,"-1,104763626","-0,5736497312","-0,9861693643","-2,512670029","-1,063630008","-1,612216291","-0,9517095544","-1,329126439","-1,561022728","-0,8183253566"
38,6482,Miloslav Moravec,,CZE ,8,Bruxelles,8/25/1950,"11,3","6,82","11,76","1,75","50,8","16,2","36,11","3,3","52,77",04:39.0,"279,00",795,772,592,586,779,711,586,432,630,687,"-0,5629405198","-0,9016472856","-1,556628639","-2,052742745","-0,5524586292","-1,734309668","-1,350448423","-2,398394534","-0,6790590389","0,1163496235"
39,6347,Viktor Iyevlev,,USR,9,Bruxelles,8/25/1950,"11,9","6,74","12,3","1,8","54,7","16,5","34,95","3,6","59,75",04:44.0,"284,00",671,753,625,628,611,678,563,509,735,656,"-2,162608738","-1,10937907","-1,172441781","-1,592815461","-2,647014524","-2,100589801","-1,598313125","-1,877295526","0,3498985977","-0,1494753708"
40,6107,Pierre Sprecher,,FRA ,10,Bruxelles,8/25/1950,"11,8","6,20","12,2","1,6","51,4","16,4","38,77","3,3","52,81",04:46.0,"286,00",691,631,619,465,752,689,640,432,631,643,"-1,904597735","-2,443235791","-1,242293937","-3,377771348","-0,8890836836","-1,978496423","-0,7685052094","-2,398394534","-0,6692594424","-0,2609503684"
41,5900,Geoffrey Elliott,,GBR,11,Bruxelles,8/25/1950,"11,3","6,25","10,72","1,8","54,2","16,6","39,03","3,8","37,1",05:13.4,"313,00",795,642,529,628,632,667,645,563,401,488,"-0,5629405198","-2,322970021","-2,290076279","-1,592815461","-2,385195037","-2,222683178","-0,7146215785","-1,511849468","-2,923166647","-1,59007534"
42,5934,Davorin Marčelja,,YUG ,12,Bruxelles,8/25/1950,12,"6,28","12,4","1,6","53,4","17,3","36,73","3,6","54,96",04:55.0,"295,00",651,648,631,465,665,594,599,509,663,589,"-2,42061974","-2,25737051","-1,102589625","-3,377771348","-1,973764415","-3,032939229","-1,210350983","-1,877295526","-0,3556723531","-0,7240003586"
43,5630,Oto Rebula,,YUG ,13,Bruxelles,8/25/1950,"11,6","6,10","11,97","1,65",56,"16,4","37,68","3,3","41,7",05:11.0,"311,00",732,609,605,504,560,689,618,432,467,499,"-1,375675179","-2,683767331","-1,405282301","-2,950696013","-3,282861849","-1,978496423","-1,005593185","-2,398394534","-2,276393275","-1,495750342"
44,5081,John van Mullem,,BEL,14,Bruxelles,8/25/1950,"12,1","6,25","10,57","1,75","56,2","17,4","28,4","3,4","34,3",05:31.0,"331,00",632,642,520,586,552,584,434,457,361,395,"-2,665730193","-2,322970021","-2,394854513","-2,052742745","-3,382602606","-3,143933208","-2,988510802","-2,229206544","-3,315150508","-2,387550323"
45,6881,Vasiliy Kuznetsov,,USR,1,Bern,8/27/1954,"11,2","6,90","12,88","1,7","50,7","15,4","44,73","3,8","56,2",04:58.6,"299,00",817,791,660,544,783,802,762,563,681,566,"-0,2791284166","-0,6939155012","-0,7649708699","-2,512670029","-0,5025882507","-0,7242644547","0,5462553841","-1,511849468","-0,1792796154","-0,9212253544"
46,6676,Torbjörn Lassenius,,FIN ,2,Bern,8/27/1954,"11,7","6,52","12,29","1,8","51,9","15,6","35,81","3,6","64,93",04:39.2,"279,00",712,703,625,628,730,779,580,509,813,687,"-1,633686182","-1,656041661","-1,172441781","-1,592815461","-1,163370765","-0,9795506076","-1,41510878","-1,877295526","1,114267128","0,1163496235"
47,6531,Heinz Oberbeck,,GER ,3,Bern,8/27/1954,"11,2","7,36","13,41","1,8","51,6","16,5","40,62","3,5","52,55",05:35.2,"335,00",817,901,693,628,743,678,678,483,627,376,"-0,2791284166","0,5087421983","-0,3807840111","-1,592815461","-1,001292035","-2,100589801","-0,3589896147","-2,053251035","-0,7084578286","-2,55047532"
48,6442,Yuriy Kutenko,,USR,4,Bern,8/27/1954,"11,6","6,94","12,66","1,65","52,9","16,3","39,54","3,9","56,87",05:07.0,"307,00",732,800,647,504,686,700,656,590,691,521,"-1,375675179","-0,5955162348","-0,9163172082","-2,950696013","-1,711944928","-1,856403046","-0,5960775906","-1,329126439","-0,08128365001","-1,307100346"
49,6371,Miloslav Moravec,,CZE ,5,Bern,8/27/1954,"11,3","6,71","11,63","1,75","50,6","16,5","36,44","3,2","50,4",04:39.2,"279,00",795,746,584,586,788,678,593,406,595,687,"-0,5629405198","-1,185911833","-1,649764848","-2,052742745","-0,4402502777","-2,100589801","-1,27501134","-2,574350043","-1,022044918","0,1163496235"
50,6240,Manfred Huber,,SUI,6,Bern,8/27/1954,"11,6","6,40","10,99","1,7","50,9",16,"32,4","3,2","51,14",04:22.2,"262,00",732,675,546,544,774,733,512,406,606,798,"-1,375675179","-1,962172711","-2,092161837","-2,512670029","-0,6147966022","-1,490122913","-2,14792616","-2,574350043","-0,9142493559","1,068174603"
51,6199,Friedel Schirmer,,GER ,7,Bern,8/27/1954,"11,6","6,13","12,88","1,65","52,1",16,"35,53","3,1","59,4",04:47.6,"288,00",732,615,660,504,721,733,575,382,729,631,"-1,375675179","-2,61816782","-0,7649708699","-2,950696013","-1,275579117","-1,490122913","-1,468992411","-2,736770513","0,2911010185","-0,3638503663"
52,6188,Arnulf Pilhatsch,,AUT,8,Bern,8/27/1954,"11,6","6,44","13,75","1,86","55,5","15,7","35,81","3,2","51,72",05:07.8,"308,00",732,684,714,679,579,767,580,406,615,515,"-1,375675179","-1,863773445","-0,1363014646","-1,034332331","-3,045977551","-1,112743383","-1,41510878","-2,574350043","-0,826052987","-1,358550345"
53,6127,Fritz Vogelsang,,SUI,9,Bern,8/27/1954,"11,5","6,14","11,52","1,65","51,6","16,2","35,79","3,6","44,4",04:35.2,"275,00",753,618,578,504,743,711,580,509,507,713,"-1,104763626","-2,585368065","-1,719617004","-2,950696013","-1,001292035","-1,734309668","-1,41510878","-1,877295526","-1,884409413","0,3392996188"
54,6118,Stojan Slavkov,,BUL,10,Bern,8/27/1954,"11,7","6,61","11,38","1,86","52,5","16,5","35,46","3,6","39,65",04:50.4,"290,00",712,723,569,679,703,678,573,509,438,619,"-1,633686182","-1,437376624","-1,824395238","-1,034332331","-1,49999582","-2,100589801","-1,490545863","-1,877295526","-2,560581575","-0,4667503641"
55,6026,Jacques Guénard,,FRA ,11,Bern,8/27/1954,"11,7","5,95","11,48","1,75","53,5","16,4","32,29","3,5","58,09",04:51.6,"292,00",712,576,575,586,661,689,510,483,710,607,"-1,633686182","-3,044564641","-1,754543082","-2,052742745","-2,023634793","-1,978496423","-2,169479612","-2,053251035","0,1049086842","-0,5696503619"
56,5929,Stanislav Štefkovič,,CZE ,12,Bern,8/27/1954,"12,1","6,26","12,49","1,75","54,2","17,7","36,29","3,5","45,46",04:32.6,"273,00",632,644,637,586,632,554,590,483,522,726,"-2,665730193","-2,301103518","-1,032737468","-2,052742745","-2,385195037","-3,476915147","-1,307341518","-2,053251035","-1,737415465","0,4507746164"
57,5830,Hans Baar,,Saar ,13,Bern,8/27/1954,12,"6,17","13,29","1,65","53,7","16,3","35,06","3,2","39,68",04:39.2,"279,00",651,624,685,504,653,700,565,406,438,687,"-2,42061974","-2,519768554","-0,4739202193","-2,950696013","-2,12337555","-1,856403046","-1,576759673","-2,574350043","-2,560581575","0,1163496235"
58,5316,Gheorghe Zîmbresteanu,,ROM,14,Bern,8/27/1954,"11,5","6,30","11,54","1,65","51,6","16,2","36,49","3,4","37,57",,,753,653,579,504,743,711,594,457,408,0,"-1,104763626","-2,202704251","-1,707974978","-2,950696013","-1,001292035","-1,734309668","-1,264234614","-2,229206544","-2,854569471","-5,774675251"
59,5761,Fernando Fernandes,,POR,15,Bern,8/27/1954,"11,5","6,54","10,17","1,7","51,5","16,8","33,34","3,1","38,64",04:50.4,"290,00",753,707,496,544,747,646,531,382,423,619,"-1,104763626","-1,612308653","-2,674263138","-2,512670029","-0,9514216567","-2,455770535","-1,943168363","-2,736770513","-2,707575523","-0,4667503641"
60,6969,Vasiliy Kuznetsov,,USR,1,Stockholm,8/21/1958,"10,8","7,34","14,27","1,8","48,6","14,8","48,57",,"59,42",05:00.0,"300,00",906,896,745,628,881,874,841,0,730,560,"0,8690205461","0,4540759392","0,2246013421","-1,592815461","0,7192360211","0,0748921978","1,397616752","-5,321962995","0,300900615","-0,9726753533"
61,6767,Uno Palu,,USR,2,Stockholm,8/21/1958,"11,2","6,90","13,34","1,9","49,3","15,2","39,07",,"57,47",04:17.9,"258,00",817,791,688,714,848,826,646,0,700,826,"-0,2791284166","-0,6939155012","-0,4389941412","-0,6510595945","0,3078053989","-0,4578789039","-0,7038448523","-5,321962995","0,006912718848","1,308274598"
62,6852,Walter Meier,,GER,3,Stockholm,8/21/1958,"11,1","7,04","14,17","1,83","49,1","15,5","48,8",,"49,89",04:20.6,"261,00",839,824,739,653,857,791,846,0,587,805,"0,004683686502","-0,3331181913","0,154749186","-1,319049221","0,4200137504","-0,8463578322","1,451500383","-5,321962995","-1,10044169","1,128199602"
63,6682,Markus Kahma,,FIN ,4,Stockholm,8/21/1958,"11,4","6,73","15,21","1,7",51,"16,5","46,65",,"65,66",04:18.3,"258,00",774,751,803,544,770,678,801,0,824,826,"-0,8338520728","-1,131245574","0,8998388514","-2,512670029","-0,6646669807","-2,100589801","0,966547705","-5,321962995","1,22206269","1,308274598"
64,6421,Walter Tschudi,,SUI,5,Stockholm,8/21/1958,"10,9","6,74","13,39","1,7","48,5","15,2","34,83",,"48,11",04:20.6,"261,00",883,753,692,544,886,826,561,0,561,805,"0,5723078928","-1,10937907","-0,3924260371","-2,512670029","0,7815739941","-0,4578789039","-1,619866577","-5,321962995","-1,3552312","1,128199602"
65,6530,Eef Kamerbeek,,NED ,6,Stockholm,8/21/1958,"11,2","6,94","13,15","1,75","50,9","14,9","39,41",,"60,3",04:35.4,"275,00",817,800,677,586,774,862,653,0,743,713,"-0,2791284166","-0,5955162348","-0,5670564275","-2,052742745","-0,6147966022","-0,05830057762","-0,6284077691","-5,321962995","0,4282953701","0,3392996188"
66,6219,Hans-Dieter Möhring,,GER ,7,Stockholm,8/21/1958,"11,1","6,56",15,"1,7","51,1","16,6","45,6",,"54,49",05:00.8,"301,00",839,712,790,544,765,667,780,0,656,554,"0,004683686502","-1,557642394","0,7484925131","-2,512670029","-0,7270049537","-2,222683178","0,7402364553","-5,321962995","-0,4242695289","-1,024125352"
67,6279,Václav Bečvárovský,,CZE ,8,Stockholm,8/21/1958,"11,4","6,55","12,86","1,83","50,8","15,2","41,82",,"51,79",04:45.0,"285,00",774,709,659,653,779,826,702,0,616,650,"-0,8338520728","-1,59044215","-0,7766128959","-1,319049221","-0,5524586292","-0,4578789039","-0,1003481865","-5,321962995","-0,8162533905","-0,2009253697"
68,6157,Pétur Rögnvaldsson,,ISL,9,Stockholm,8/21/1958,"11,4","6,75","13,48","1,7","51,4","15,1","39,46",,"53,21",04:54.1,"294,00",774,755,697,544,752,838,654,0,637,595,"-0,8338520728","-1,087512566","-0,334215907","-2,512670029","-0,8890836836","-0,3246861285","-0,6176310429","-5,321962995","-0,6104618632","-0,6725503597"
69,5985,Jože Brodnik,,YUG ,10,Stockholm,8/21/1958,"11,8","6,20","13,18","1,8","53,1","15,8","35,46",,"60,48",04:38.5,"279,00",691,631,679,628,678,756,573,0,746,687,"-1,904597735","-2,443235791","-0,5437723754","-1,592815461","-1,811685685","-1,23483676","-1,490545863","-5,321962995","0,4576941597","0,1163496235"
70,6010,Torbjörn Lassenius,,FIN ,11,Stockholm,8/21/1958,"11,9","6,48","12,32","1,7","51,8","15,8","39,68",,"60,44",04:42.3,"282,00",671,693,626,544,734,756,659,0,745,668,"-2,162608738","-1,765374179","-1,160799755","-2,512670029","-1,113500387","-1,23483676","-0,5637474121","-5,321962995","0,4478945631","-0,046575373"
71,5925,Johann Muchitsch,,AUT,12,Stockholm,8/21/1958,"11,1","7,05","10,13","1,8","50,2","15,2","29,36",,"29,9",04:14.9,"255,00",839,826,494,628,806,826,452,0,298,847,"0,004683686502","-0,3112516877","-2,69754719","-1,592815461","-0,2158335747","-0,4578789039","-2,794529731","-5,321962995","-3,93252509","1,488349594"
72,5940,Per-Martin Haarr,,NOR ,13,Stockholm,8/21/1958,"11,6","6,83","12,67","1,83","54,3","16,3","36,46",,"61,41",05:04.1,"304,00",732,774,648,653,628,700,593,0,760,537,"-1,375675179","-0,879780782","-0,9046751822","-1,319049221","-2,435065415","-1,856403046","-1,27501134","-5,321962995","0,5948885112","-1,169900349"
73,5802,Rune Persson,,SWE ,14,Stockholm,8/21/1958,"11,5","6,35","13,29","1,75","53,2",16,"37,4",,"55,8",05:09.8,"310,00",753,664,685,586,674,733,612,0,675,504,"-1,104763626","-2,082438481","-0,4739202193","-2,052742745","-1,861556063","-1,490122913","-1,070253542","-5,321962995","-0,2380771947","-1,452875343"
74,5770,Heinrich Staub,,SUI,15,Stockholm,8/21/1958,"11,6","6,22","11,77","1,8","51,4","15,4","35,37",,"46,73",04:52.6,"293,00",732,635,593,628,752,802,572,0,541,601,"-1,375675179","-2,399502784","-1,544986613","-1,592815461","-0,8890836836","-0,7242644547","-1,501322589","-5,321962995","-1,551223131","-0,6211003608"
75,5883,Jean-Marie Kling,,FRA ,16,Stockholm,8/21/1958,"11,5","6,67","11,94","1,7","50,1","15,5","37,6",,"36,02",04:32.3,"272,00",753,737,603,544,810,791,616,0,385,732,"-1,104763626","-1,284311099","-1,428566353","-2,512670029","-0,1659631963","-0,8463578322","-1,027146638","-5,321962995","-3,079960191","0,5022246153"
76,5604,Hermund Høgheim,,NOR ,17,Stockholm,8/21/1958,"11,3","6,58","10,66","1,7","52,7","17,3","31,93",,"53,54",04:41.0,"281,00",795,716,526,544,695,594,503,0,642,675,"-0,5629405198","-1,513909387","-2,325002357","-2,512670029","-1,599736576","-3,032939229","-2,244916696","-5,321962995","-0,5614638805","0,01344962572"
